id,parent_id,tree_ids,level,code,name,sp,qp,elx,use_to,sku_ex
00168033-534a-436c-9cd8-b960cb7dc3b5,eba9a8ea-f34b-44fc-913a-d1ddfd29f7b1,"124e0720-882e-4958-bcf8-aab4fa33c49e,eba9a8ea-f34b-44fc-913a-d1ddfd29f7b1,00168033-534a-436c-9cd8-b960cb7dc3b5",3,IVDⅡ-4361,α-羟丁酸脱氢酶检测试剂,α-qdstqmjcsj,α-qiangdingsuantuoqingmeijianceshiji,1: ,1:用于检测人体样本中α-羟丁酸脱氢酶的活性，临床上主要用于心肌梗死的辅助诊断。 ,1: 
0020bfcb-7262-465e-aa00-2b131da555ba,1a40580c-ff93-4e50-8531-5746ed4f38ef,"124e0720-882e-4958-bcf8-aab4fa33c49e,1a40580c-ff93-4e50-8531-5746ed4f38ef,0020bfcb-7262-465e-aa00-2b131da555ba",3,IVDⅢ-9236,CD34检测试剂,cd34jcsj,cd34jianceshiji,1: ,1:用于流式细胞仪鉴定和定量细胞表面CD34抗原表达。 ,1: 
00474d46-cd5a-4e35-a34e-5d9df23fe357,191b587a-d9d2-4b4f-91b4-d39ef1e5d4fc,"124e0720-882e-4958-bcf8-aab4fa33c49e,191b587a-d9d2-4b4f-91b4-d39ef1e5d4fc,00474d46-cd5a-4e35-a34e-5d9df23fe357",3,IVDⅡ-11645,血栓弹力图试验试剂,xsdltsysj,xueshuandanlitushiyanshiji,1: ,1:与血栓弹力图仪配套使用，用于人体凝血功能的检测。 ,1: 
004ba9c2-6c20-4e9d-87b2-9e1f5c3fbeae,11aea726-ddcf-4f73-8bfe-38eb5cff5cb3,"124e0720-882e-4958-bcf8-aab4fa33c49e,11aea726-ddcf-4f73-8bfe-38eb5cff5cb3,004ba9c2-6c20-4e9d-87b2-9e1f5c3fbeae",3,IVDⅢ-1080,乙型肝炎病毒e抗原（HBeAg)检测试剂,yxgybdeky（hbeag)jcsj,yixingganyanbingduekangyuan（hbeag)jianceshiji,1: ,"1:用于检测人体样本中的乙型肝炎病毒e抗原,临床上主要用于乙型肝炎病毒感染的辅助诊断。 ",1: 
0096e287-5c90-44bf-8207-0f07c3bb4f0e,d9c3c0d4-2ef2-44a8-b0d2-981759cb79ec,"0debe49f-4fff-4720-95b2-9c03cef5ecbe,d9c3c0d4-2ef2-44a8-b0d2-981759cb79ec,0096e287-5c90-44bf-8207-0f07c3bb4f0e",3,140506,引流导管,yldg,yinliudaoguan,1:一般采用硅橡胶或聚氨酯等材料制成。使用时导管的一端插入到体内或创面的引流部位，另一端在体外可与引流接管等其他体外器械连接，通过体内压力、重力或负压吸引等压力的作用向体外引流。无菌提供，一次性使用。 ,1:用于将患者积液、渗出液或气体向体外引流。 ,1:胸腔引流导管、脑室引流导管、脑脊液外引流导管、腰椎外引流导管、颅脑外引流导管、腹腔引流管、胸腔引流管、脑室引流管、心脏排气引流管、脑科吸引管、胆汁外引流导管、胰引流管、经鼻胆汁外引流管、乳胶胆管引流管、胆管引流管、逆行性经胆管引流管、鼻胰引流管、胆汁引流管 
00efd901-3451-4b7d-b96f-b3122c7f6572,c52c1657-7417-4956-98f0-3cc59c4032c1,"87bb616e-64d7-419c-8c7b-18b6bb51849f,c52c1657-7417-4956-98f0-3cc59c4032c1,00efd901-3451-4b7d-b96f-b3122c7f6572",3,021501,套扎器,tzq,taozhaqi,1:通常由套环、夹紧环、连接装置组成。无菌提供。一次性使用。 2:通常由头部、杆部和推杆组成，头部为结扎套。无菌提供。一次性使用。 3:通常由头部、杆部和柄部组成。头部为套环，环口微锐。一般采用不锈钢材料制成。非无菌提供。 ,1:用于包皮环切，免缝愈合。 2:用于套扎内痔或息肉。 3:用于分离或切除组织。 ,1:一次性使用无菌包皮套扎器 2:一次性使用无菌痔疮套扎器、一次性使用无菌肛肠套扎器 3:肌腱套取器、息肉圈断器、扁桃体器、内痔套扎器、痔疮套扎器 
00f871b3-102f-4d98-8496-a0e9c3acfe14,d3d8a6e0-24ed-4aee-b997-2094f32324c2,"d3d8a6e0-24ed-4aee-b997-2094f32324c2,00f871b3-102f-4d98-8496-a0e9c3acfe14",2,0617,组合功能融合成像器械,zhgnrhcxqx,zuhegongnengronghechengxiangqixie,NULL,NULL,NULL
00fdba68-e469-4655-b11e-6143809ccd9f,bba80536-c310-40b0-a17e-3debed1e8825,"124e0720-882e-4958-bcf8-aab4fa33c49e,bba80536-c310-40b0-a17e-3debed1e8825,00fdba68-e469-4655-b11e-6143809ccd9f",3,IVDⅡ-1255,前白蛋白检测试剂,qbdbjcsj,qianbaidanbaijianceshiji,1: ,1:用于检测人体样本中前白蛋白的含量，临床上主要用于反映肝损害程度及营养评估等。 ,1: 
010229fe-8533-4648-b5a1-dd10c7dddcfe,122053ee-94c1-4b0c-914f-64b9570e7a39,"124e0720-882e-4958-bcf8-aab4fa33c49e,122053ee-94c1-4b0c-914f-64b9570e7a39,010229fe-8533-4648-b5a1-dd10c7dddcfe",3,IVDⅢ-5162,苯二氮卓检测试剂,bedzjcsj,benerdanzhuojianceshiji,1: ,1:用于检测人体样本中苯二氮卓的浓度。 ,1: 
010318e7-9cb2-4707-b96c-73c59c7d9420,21bce9b5-77d1-411d-8f49-a2649687cab1,"d3d8a6e0-24ed-4aee-b997-2094f32324c2,21bce9b5-77d1-411d-8f49-a2649687cab1,010318e7-9cb2-4707-b96c-73c59c7d9420",3,060702,超声回波多普勒成像设备,cshbdplcxsb,chaoshenghuiboduopuleichengxiangshebei,1:通常由探头（相控阵、线阵、凸阵、机械扇扫、三维探头、内窥镜探头等）、超声波发射/接收电路、信号处理和图像显示等部分组成。利用超声多普勒技术和超声回波原理，同时进行采集血流运动、组织运动信息和人体器官组织成像的设备。 2:通常由探头（相控阵、线阵、凸阵、机械扇扫、三维探头、内窥镜探头等）、超声波发射/接收电路、信号处理和图像显示等部分组成。利用超声多普勒技术和超声回波原理，同时进行采集血流运动、组织运动信息和人体器官组织成像的设备。 ,1:用于超声成像、测量与血流运动信息采集供临床超声诊断检查使用。其中探头可经食道、血管内、术中经人体内部组织，和/或用于超声导航等领域。 2:用于超声成像与血流运动信息采集，对人体组织（如腹部等）或器官（如心脏等）进行成像供诊断使用。其中探头经体表、直肠和阴道。 ,1:彩色超声诊断系统、彩色超声诊断仪、彩色多普勒超声诊断系统、全数字彩色超声诊断仪、彩色多普勒超声诊断仪、便携式彩色超声诊断仪、便携式彩色多普勒超声诊断系统、全数字彩色超声诊断系统 2:彩色超声诊断系统、彩色超声诊断仪、彩色多普勒超声诊断系统、全数字彩色超声诊断仪、彩色多普勒超声诊断仪、便携式彩色超声诊断仪、便携式彩色多普勒超声诊断系统、全数字彩色超声诊断系统 
